name;model;spec_name;spec_value;spec_value_US;spec_value_INT
Bare Chassis;730C2;Forward - 4;21 mile/h 34 km/h;['21', 'mile/h'];['34', 'km/h']
Bare Chassis;730C2;Forward - 5;29 mile/h 47 km/h;['29', 'mile/h'];['47', 'km/h']
Bare Chassis;730C2;Forward - 6;34 mile/h 55 km/h;['34', 'mile/h'];['55', 'km/h']
Bare Chassis;730C2;Reverse - 1;6 mile/h 9 km/h;['6', 'mile/h'];['9', 'km/h']
Bare Chassis;730C2;Interior Cab;76 dB(A) 76 dB(A);['76', 'dB(A)'];['76', 'dB(A)']
Bare Chassis;730C2;Fuel Tank;108.8 gal (US) 412 l;['108.8', 'gal'];['412', 'l']
Bare Chassis;730C2;Cooling System;21.9 gal (US) 83 l;['21.9', 'gal'];['83', 'l']
Bare Chassis;730C2;Hydraulic System;29.1 gal (US) 110 l;['29.1', 'gal'];['110', 'l']
Bare Chassis;730C2;Engine Crankcase;10.5 gal (US) 40 l;['10.5', 'gal'];['40', 'l']
Bare Chassis;730C2;Transmission;9.2 gal (US) 35 l;['9.2', 'gal'];['35', 'l']
Bare Chassis;730C2;Final Drives/Differential;35.7 gal (US) 135 l;['35.7', 'gal'];['135', 'l']
Bare Chassis;730C2;Output Transfer Gear Box;6.3 gal (US) 24 l;['6.3', 'gal'];['24', 'l']
Bare Chassis;730C2;DEF Tank (ISO 2224-1);5.3 gal (US) 20 l;['5.3', 'gal'];['20', 'l']
Bare Chassis;730C2;Lock to Lock;4.75 seconds @ 60 rpm 4.75 seconds @ 60 rpm;['4.75', 'seconds'];['60', 'rpm']
Bare Chassis;730C2;Brakes;ISO 3450 - 2011 ISO 3450 - 2011;['ISO', '3450'];['-', '2011']
Bare Chassis;730C2;Cab - FOPS;ISO 3449 Level II - 2005 ISO 3449 Level II - 2005;['ISO', '3449'];['-', '2005']
Bare Chassis;730C2;Cab - ROPS;ISO 3471 - 2008 ISO 3471 - 2008;['ISO', '3471'];['-', '2008']
Bare Chassis;730C2;Steering;ISO 5010 - 2007 ISO 5010 - 2007;['ISO', '5010'];['-', '2007']
Bare Chassis;730C2;Turning Dimensions - Inside Radius;153 in 3879 mm;['153', 'in'];['3879', 'mm']
Bare Chassis;730C2;Turning Dimensions - Clearance Radius;318 in 8075 mm;['318', 'in'];['8075', 'mm']
Bare Chassis;730C2;Turning Dimensions - SAE Turning Radius;294 in 7470 mm;['294', 'in'];['7470', 'mm']
Bare Chassis;730C2;Turning Dimensions - Steer Angle - Left/Right;45 ° 45 °;['45', '°'];['45', '°']
Bare Chassis;730C2;Turning Dimensions - Aisle Width;210 in 5332 mm;['210', 'in'];['5332', 'mm']
Articulated Haul;725;Engine Model;Cat C9.3 Cat C9.3;['Cat', 'C9.3'];['Cat', 'C9.3']
Articulated Haul;725;Bore;4.5 in 115 mm;['4.5', 'in'];['115', 'mm']
Articulated Haul;725;Stroke;45.2 in 1149 mm;['45.2', 'in'];['1149', 'mm']
Articulated Haul;725;Displacement;567.5 in³ 9.3 l;['567.5', 'in³'];['9.3', 'l']
Articulated Haul;725;Peak Engine Torque Gross (SAE J1995);1275 ft·lbf 1729 N·m;['1275', 'ft·lbf'];['1729', 'N·m']
Articulated Haul;725;Gross Power - SAE J1995;342 HP 255 kW;['342', 'HP'];['255', 'kW']
Articulated Haul;725;Net Power - ISO 14396;338 HP 252 kW;['338', 'HP'];['252', 'kW']
Articulated Haul;725;Engine Model - U.S. EPA Tier 4 Final/EU Stage IV;Cat® C9.3 Cat® C9.3;['Cat®', 'C9.3'];['Cat®', 'C9.3']
Articulated Haul;725;No Engine De-rating Below;3000 ft 914 m;['3000', 'ft'];['914', 'm']
Articulated Haul;725;Peak Engine Torque Net (SAE J1349);1263 ft·lbf 1712 N·m;['1263', 'ft·lbf'];['1712', 'N·m']
Articulated Haul;725;Net Power - SAE J1349;334 HP 249 kW;['334', 'HP'];['249', 'kW']
Articulated Haul;725;Peak Engine Torque Speed;1200 r/min 1200 r/min;['1200', 'r/min'];['1200', 'r/min']
Articulated Haul;725;Emissions;The reference to Tier 4 Final/Stage IV includes U.S. EPA Tier 4 Final, EU Stage V, Japan 2014 (Tier 4 Final), as well as Korea Tier 4 Final emission standards. The reference to Tier 4 Final/Stage IV includes U.S. EPA Tier 4 Final, EU Stage V, Japan 2014 (Tier 4 Final), as well as Korea Tier 4 Final emission standards.;['The', 'reference'];['emission', 'standards.']
Articulated Haul;725;Rated Payload;26.5 ton (US) 24 t;['26.5', 'ton'];['24', 't']
Articulated Haul;725;Heaped (SAE 2:1);19.6 yd³ 15 m³;['19.6', 'yd³'];['15', 'm³']
Articulated Haul;725;Struck;14.4 yd³ 11 m³;['14.4', 'yd³'];['11', 'm³']
Articulated Haul;725;Tailgate Heaped SAE 2:1;20.4 yd³ 15.6 m³;['20.4', 'yd³'];['15.6', 'm³']
Articulated Haul;725;Tailgate Struck;14.5 yd³ 11.1 m³;['14.5', 'yd³'];['11.1', 'm³']
Articulated Haul;725;Forward - 1;5 mT/hr 8.1 km/h;['5', 'mT/hr'];['8.1', 'km/h']
Articulated Haul;725;Forward - 2;9.4 mT/hr 15.2 km/h;['9.4', 'mT/hr'];['15.2', 'km/h']
Articulated Haul;725;Forward - 3;14.4 mT/hr 23.2 km/h;['14.4', 'mT/hr'];['23.2', 'km/h']
Articulated Haul;725;Forward - 4;22.1 mT/hr 35.5 km/h;['22.1', 'mT/hr'];['35.5', 'km/h']
Articulated Haul;725;Forward - 5;30.7 mT/hr 49.4 km/h;['30.7', 'mT/hr'];['49.4', 'km/h']
Articulated Haul;725;Forward - 6;36.3 mT/hr 58.4 km/h;['36.3', 'mT/hr'];['58.4', 'km/h']
Articulated Haul;725;Reverse - 1;5.5 mT/hr 8.9 km/h;['5.5', 'mT/hr'];['8.9', 'km/h']
Articulated Haul;725;Interior Cab;69 dB(A) 69 dB(A);['69', 'dB(A)'];['69', 'dB(A)']
Articulated Haul;725;Total - Loaded;103886 lb 47122 kg;['103886', 'lb'];['47122', 'kg']
Articulated Haul;725;Rear Axle - Rated Load;23699 lb 10750 kg;['23699', 'lb'];['10750', 'kg']
Articulated Haul;725;Total - Empty;50975 lb 23122 kg;['50975', 'lb'];['23122', 'kg']
Articulated Haul;725;Total - Rated Load;52910 lb 24000 kg;['52910', 'lb'];['24000', 'kg']
Articulated Haul;725;Center Axle - Loaded;33944 lb 15397 kg;['33944', 'lb'];['15397', 'kg']
Articulated Haul;725;Front Axle - Rated Load;5511 lb 2500 kg;['5511', 'lb'];['2500', 'kg']
Articulated Haul;725;Center Axle - Rated Load;23699 lb 10750 kg;['23699', 'lb'];['10750', 'kg']
Articulated Haul;725;Center Axle - Empty;10242 lb 4646 kg;['10242', 'lb'];['4646', 'kg']
Articulated Haul;725;Rear Axle - Loaded;33457 lb 15176 kg;['33457', 'lb'];['15176', 'kg']
Articulated Haul;725;Front Axle - Loaded;36484 lb 16549 kg;['36484', 'lb'];['16549', 'kg']
Articulated Haul;725;Rear Axle - Empty;9757 lb 4426 kg;['9757', 'lb'];['4426', 'kg']
Articulated Haul;725;Front Axle - Empty;30974 lb 14050 kg;['30974', 'lb'];['14050', 'kg']
Articulated Haul;725;Side Plates;0.43 in 11 mm;['0.43', 'in'];['11', 'mm']
Articulated Haul;725;Front Plate;0.28 in 7 mm;['0.28', 'in'];['7', 'mm']
Articulated Haul;725;Base Plate;0.51 in 13 mm;['0.51', 'in'];['13', 'mm']
Articulated Haul;725;Fuel Tank;91 gal (US) 412 l;['91', 'gal'];['412', 'l']
Articulated Haul;725;Cooling System;18 gal (US) 83 l;['18', 'gal'];['83', 'l']
Articulated Haul;725;Hydraulic System;29.1 gal (US) 110 l;['29.1', 'gal'];['110', 'l']
Articulated Haul;725;Engine Crankcase;8 gal (US) 38 l;['8', 'gal'];['38', 'l']
Articulated Haul;725;Transmission;10 gal (US) 47 l;['10', 'gal'];['47', 'l']
Articulated Haul;725;Final Drives/Differential;33 gal (US) 125 l;['33', 'gal'];['125', 'l']
Articulated Haul;725;Output Transfer Gear Box;5 gal (US) 24 l;['5', 'gal'];['24', 'l']
Articulated Haul;725;DEF Tank;4 gal (US) 20 l;['4', 'gal'];['20', 'l']
Articulated Haul;725;Steering/Hoist Hydraulic System;24 gal (US) 110 l;['24', 'gal'];['110', 'l']
Articulated Haul;725;Final Drive - Each;1.6 gal (US) 7.5 l;['1.6', 'gal'];['7.5', 'l']
Articulated Haul;725;Raise Time;10 s 10 s;['10', 's'];['10', 's']
Articulated Haul;725;Lower Time;8 s 8 s;['8', 's'];['8', 's']
Articulated Haul;725;Lock to Lock;4.75 seconds @ 60 rpm 4.75 seconds @ 60 rpm;['4.75', 'seconds'];['60', 'rpm']
Articulated Haul;725;Brakes;ISO 3450 – 2011 ISO 3450 – 2011;['ISO', '3450'];['–', '2011']
Articulated Haul;725;Cab - FOPS;ISO 3449 Level II – 2008 ISO 3449 Level II – 2008;['ISO', '3449'];['–', '2008']
Articulated Haul;725;Cab - ROPS;ISO 3471 – 2008 ISO 3471 – 2008;['ISO', '3471'];['–', '2008']
Articulated Haul;725;Steering;ISO 5010 – 2007 ISO 5010 – 2007;['ISO', '5010'];['–', '2007']
Articulated Haul;725;Type;High strength Brinell HB450 wear resistant steel High strength Brinell HB450 wear resistant steel;['High', 'strength'];['resistant', 'steel']
Articulated Haul;725;Turning Dimensions - Inside Radius;153 in 3879 mm;['153', 'in'];['3879', 'mm']
Articulated Haul;725;Turning Dimensions - Aisle Width;210 in 5332 mm;['210', 'in'];['5332', 'mm']
Articulated Haul;725;Turning Dimensions - SAE Turning Radius;294 in 7470 mm;['294', 'in'];['7470', 'mm']
Articulated Haul;725;Turning Dimensions - Clearance Radius;318 in 8075 mm;['318', 'in'];['8075', 'mm']
Articulated Haul;725;Turning Dimensions - Steer Angle - Left/Right;45° 45°;['45°', '45°'];['45°', '45°']
Articulated Haul;725;Wheel Loader: 950M - Passes;5 5;['5', '5'];['5', '5']
Articulated Haul;725;Wheel Loader: 962M - Passes;4-5 4-5;['4-5', '4-5'];['4-5', '4-5']
Articulated Haul;725;Wheel Loaders: 966M/966M XE - Passes;4 4;['4', '4'];['4', '4']
Articulated Haul;725;Hydraulic Excavators: 336F/336F XE - Passes;5-6 5-6;['5-6', '5-6'];['5-6', '5-6']
Articulated Haul;725;Wheel Loaders: 972M/972M XE - Passes;3-4 3-4;['3-4', '3-4'];['3-4', '3-4']
Articulated Haul;725;Hydraulic Excavators: 349F/349F XE - Passes;4-5 4-5;['4-5', '4-5'];['4-5', '4-5']
Articulated Haul;730;Engine Model;Cat® C13 Cat® C13;['Cat®', 'C13'];['Cat®', 'C13']
Articulated Haul;730;Bore;5.1 in 130 mm;['5.1', 'in'];['130', 'mm']
Articulated Haul;730;Stroke;6.2 in 157 mm;['6.2', 'in'];['157', 'mm']
Articulated Haul;730;Displacement;762.8 in³ 12.5 l;['762.8', 'in³'];['12.5', 'l']
Articulated Haul;730;Net Power - ISO 14396;370 HP 276 kW;['370', 'HP'];['276', 'kW']
Articulated Haul;730;Gross Power - SAE J1995;375 HP 280 kW;['375', 'HP'];['280', 'kW']
Articulated Haul;730;No Engine De-rating Below;12500 ft 3810 m;['12500', 'ft'];['3810', 'm']
Articulated Haul;730;Peak Engine Torque Speed;1200 r/min 1200 r/min;['1200', 'r/min'];['1200', 'r/min']
Articulated Haul;730;Peak Engine Torque Net (SAE J1349);1564 ft·lbf 2120 N·m;['1564', 'ft·lbf'];['2120', 'N·m']
Articulated Haul;730;Net Power - SAE J1349;367 HP 274 kW;['367', 'HP'];['274', 'kW']
Articulated Haul;730;Engine Model - U.S. EPA Tier 4 Final/EU Stage V;Cat C13 Cat C13;['Cat', 'C13'];['Cat', 'C13']
Articulated Haul;730;Peak Engine Torque Gross (SAE J1995);1579 ft·lbf 2141 N·m;['1579', 'ft·lbf'];['2141', 'N·m']
Articulated Haul;730;Emissions;The 730 meets Tier 4 Final and Stage V emission standards. The 730 meets Tier 4 Final and Stage V emission standards.;['The', '730'];['emission', 'standards.']
Articulated Haul;730;Rated Payload;31 ton (US) 28 t;['31', 'ton'];['28', 't']
Articulated Haul;730;Heaped (SAE 2:1);23 yd³ 17.5 m³;['23', 'yd³'];['17.5', 'm³']
Articulated Haul;730;Struck;17.4 yd³ 13.3 m³;['17.4', 'yd³'];['13.3', 'm³']
Articulated Haul;730;Tailgate Heaped SAE 2:1;24.6 yd³ 18.8 m³;['24.6', 'yd³'];['18.8', 'm³']
Articulated Haul;730;Tailgate Struck;18.2 yd³ 13.9 m³;['18.2', 'yd³'];['13.9', 'm³']
Articulated Haul;730;Forward - 1;5 mile/h 8 km/h;['5', 'mile/h'];['8', 'km/h']
Articulated Haul;730;Forward - 2;9 mile/h 15 km/h;['9', 'mile/h'];['15', 'km/h']
Articulated Haul;730;Forward - 3;14 mile/h 22 km/h;['14', 'mile/h'];['22', 'km/h']
Articulated Haul;730;Forward - 4;21 mile/h 34 km/h;['21', 'mile/h'];['34', 'km/h']
Articulated Haul;730;Forward - 5;29 mile/h 47 km/h;['29', 'mile/h'];['47', 'km/h']
Articulated Haul;730;Forward - 6;34 mile/h 55 km/h;['34', 'mile/h'];['55', 'km/h']
Articulated Haul;730;Reverse - 1;6 mile/h 9 km/h;['6', 'mile/h'];['9', 'km/h']
Articulated Haul;730;Interior Cab;72 dB(A) 72 dB(A);['72', 'dB(A)'];['72', 'dB(A)']
Articulated Haul;730;Front Axle - Empty;33069 lb 15000 kg;['33069', 'lb'];['15000', 'kg']
Articulated Haul;730;Front Axle - Loaded;40300 lb 18280 kg;['40300', 'lb'];['18280', 'kg']
Articulated Haul;730;Center Axle - Rated Load;27249 lb 12360 kg;['27249', 'lb'];['12360', 'kg']
Articulated Haul;730;Rear Axle - Loaded;36817 lb 16700 kg;['36817', 'lb'];['16700', 'kg']
Articulated Haul;730;Center Axle - Loaded;37302 lb 16920 kg;['37302', 'lb'];['16920', 'kg']
Articulated Haul;730;Total - Rated Load;61729 lb 28000 kg;['61729', 'lb'];['28000', 'kg']
Articulated Haul;730;Front Axle - Rated Load;7231 lb 3280 kg;['7231', 'lb'];['3280', 'kg']
Articulated Haul;730;Total - Loaded;114420 lb 51900 kg;['114420', 'lb'];['51900', 'kg']
Articulated Haul;730;Center Axle - Empty;10053 lb 4560 kg;['10053', 'lb'];['4560', 'kg']
Articulated Haul;730;Rear Axle - Empty;9568 lb 4340 kg;['9568', 'lb'];['4340', 'kg']
Articulated Haul;730;Total - Empty;52690 lb 23900 kg;['52690', 'lb'];['23900', 'kg']
Articulated Haul;730;Rear Axle - Rated Load;27249 lb 12360 kg;['27249', 'lb'];['12360', 'kg']
Articulated Haul;730;Fuel Tank;108.8 gal (US) 412 l;['108.8', 'gal'];['412', 'l']
Articulated Haul;730;Cooling System;21.9 gal (US) 83 l;['21.9', 'gal'];['83', 'l']
Articulated Haul;730;Hydraulic System;29.1 gal (US) 110 l;['29.1', 'gal'];['110', 'l']
Articulated Haul;730;Engine Crankcase;10 gal (US) 38 l;['10', 'gal'];['38', 'l']
Articulated Haul;730;Transmission;12.4 gal (US) 47 l;['12.4', 'gal'];['47', 'l']
Articulated Haul;730;Final Drives/Differential;33 gal (US) 125 l;['33', 'gal'];['125', 'l']
Articulated Haul;730;Output Transfer Gear Box;6.3 gal (US) 24 l;['6.3', 'gal'];['24', 'l']
Articulated Haul;730;DEF Tank;5.3 gal (US) 20 l;['5.3', 'gal'];['20', 'l']
Articulated Haul;730;Raise Time;12 s 12 s;['12', 's'];['12', 's']
Articulated Haul;730;Lower Time;8 s 8 s;['8', 's'];['8', 's']
Articulated Haul;730;Lock to Lock;4.75 seconds @ 60 rpm 4.75 seconds @ 60 rpm;['4.75', 'seconds'];['60', 'rpm']
Articulated Haul;730;Brakes;ISO 3450 – 2011 ISO 3450 – 2011;['ISO', '3450'];['–', '2011']
Articulated Haul;730;Cab - FOPS;ISO 3449 Level II – 2005 ISO 3449 Level II – 2005;['ISO', '3449'];['–', '2005']
Articulated Haul;730;Cab - ROPS;ISO 3471 – 2008 ISO 3471 – 2008;['ISO', '3471'];['–', '2008']
Articulated Haul;730;Steering;ISO 5010 – 2007 ISO 5010 – 2007;['ISO', '5010'];['–', '2007']
Articulated Haul;730;Type;High strength Brinell HB450 wear resistant steel High strength Brinell HB450 wear resistant steel;['High', 'strength'];['resistant', 'steel']
Articulated Haul;730;Turning Dimensions - Aisle Width;210 in 5332 mm;['210', 'in'];['5332', 'mm']
Articulated Haul;730;Turning Dimensions - Steer Angle - Left/Right;45° 45°;['45°', '45°'];['45°', '45°']
Articulated Haul;730;Turning Dimensions - Inside Radius;153 in 3879 mm;['153', 'in'];['3879', 'mm']
Articulated Haul;730;Turning Dimensions - SAE Turning Radius;294 in 7470 mm;['294', 'in'];['7470', 'mm']
Articulated Haul;730;Turning Dimensions - Clearance Radius;318 in 8075 mm;['318', 'in'];['8075', 'mm']
Articulated Haul;730;Base Plate;0.51 in 13 mm;['0.51', 'in'];['13', 'mm']
Articulated Haul;730;Side Plates;0.43 in 11 mm;['0.43', 'in'];['11', 'mm']
Articulated Haul;730;Front Plate;0.28 in 7 mm;['0.28', 'in'];['7', 'mm']
Articulated Haul;730;Wheel Loaders: 966M/966M XE - Passes;4 4;['4', '4'];['4', '4']
Articulated Haul;730;Wheel Loader: 962M - Passes;4–5 4–5;['4–5', '4–5'];['4–5', '4–5']
Articulated Haul;730;Wheel Loader: 950M - Passes;5 5;['5', '5'];['5', '5']
Articulated Haul;730;Hydraulic Excavators: 336F/336F XE - Passes;5–6 5–6;['5–6', '5–6'];['5–6', '5–6']
Articulated Haul;730;Hydraulic Excavators: 349F/349F XE - Passes;4–5 4–5;['4–5', '4–5'];['4–5', '4–5']
Articulated Haul;730;Wheel Loaders: 972M/972M XE - Passes;3–4 3–4;['3–4', '3–4'];['3–4', '3–4']
EJ Articulated;730;Engine Model;Cat® C13 Cat® C13;['Cat®', 'C13'];['Cat®', 'C13']
EJ Articulated;730;Bore;5.1 in 130 mm;['5.1', 'in'];['130', 'mm']
EJ Articulated;730;Stroke;6.2 in 157 mm;['6.2', 'in'];['157', 'mm']
EJ Articulated;730;Displacement;763 in³ 12.5 l;['763', 'in³'];['12.5', 'l']
EJ Articulated;730;No Engine De-rating Below;12500 ft 3810 m;['12500', 'ft'];['3810', 'm']
EJ Articulated;730;Engine Model - U.S. EPA Tier 4 Final/EU Stage V;Cat C13 Cat C13;['Cat', 'C13'];['Cat', 'C13']
EJ Articulated;730;Peak Engine Torque Speed;1200 r/min 1200 r/min;['1200', 'r/min'];['1200', 'r/min']
EJ Articulated;730;Net Power - SAE J1349;367 HP 274 kW;['367', 'HP'];['274', 'kW']
EJ Articulated;730;Gross Power - SAE J1995;375 HP 280 kW;['375', 'HP'];['280', 'kW']
EJ Articulated;730;Peak Engine Torque Gross (SAE J1995);1579 ft·lbf 2141 N·m;['1579', 'ft·lbf'];['2141', 'N·m']
EJ Articulated;730;Net Power - ISO 14396;370 HP 276 kW;['370', 'HP'];['276', 'kW']
EJ Articulated;730;Emissions;The 730 EJ meets Tier 4 Final and Stage V emission standards. The 730 EJ meets Tier 4 Final and Stage V emission standards.;['The', '730'];['emission', 'standards.']
EJ Articulated;730;Peak Engine Torque Net (ISO 14396);1564 ft·lbf 2120 N·m;['1564', 'ft·lbf'];['2120', 'N·m']
EJ Articulated;730;Rated Payload;30 ton (US) 27.1 t;['30', 'ton'];['27.1', 't']
EJ Articulated;730;Heaped (SAE 2:1);22.1 yd³ 16.9 m³;['22.1', 'yd³'];['16.9', 'm³']
EJ Articulated;730;Struck;17.7 yd³ 13.5 m³;['17.7', 'yd³'];['13.5', 'm³']
EJ Articulated;730;Forward - 1;5 mile/h 8 km/h;['5', 'mile/h'];['8', 'km/h']
EJ Articulated;730;Forward - 2;9 mile/h 15 km/h;['9', 'mile/h'];['15', 'km/h']
EJ Articulated;730;Forward - 3;14 mile/h 22 km/h;['14', 'mile/h'];['22', 'km/h']
EJ Articulated;730;Forward - 4;21 mile/h 34 km/h;['21', 'mile/h'];['34', 'km/h']
EJ Articulated;730;Forward - 5;29 mile/h 47 km/h;['29', 'mile/h'];['47', 'km/h']
EJ Articulated;730;Forward - 6;34 mile/h 55 km/h;['34', 'mile/h'];['55', 'km/h']
EJ Articulated;730;Reverse - 1;6 mile/h 9 km/h;['6', 'mile/h'];['9', 'km/h']
EJ Articulated;730;Interior Cab;72 dB(A) 72 dB(A);['72', 'dB(A)'];['72', 'dB(A)']
EJ Articulated;730;Front Axle - Rated Load;1433 lb 650 kg;['1433', 'lb'];['650', 'kg']
EJ Articulated;730;Total - Loaded;117528 lb 53310 kg;['117528', 'lb'];['53310', 'kg']
EJ Articulated;730;Center Axle - Loaded;41502 lb 18825 kg;['41502', 'lb'];['18825', 'kg']
EJ Articulated;730;Rear Axle - Empty;11707 lb 5310 kg;['11707', 'lb'];['5310', 'kg']
EJ Articulated;730;Rear Axle - Rated Load;29156 lb 13225 kg;['29156', 'lb'];['13225', 'kg']
